id,city_id:id,name,ext
city_SX_dt_6,city_SX_2,天镇县,140222000000
city_SX_dt_7,city_SX_2,广灵县,140223000000
city_SX_dt_8,city_SX_2,灵丘县,140224000000
city_SX_dt_9,city_SX_2,浑源县,140225000000
city_SX_dt_10,city_SX_2,左云县,140226000000
city_SX_dt_11,city_SX_2,大同县,140227000000
city_SX_dt_12,city_SX_2,山西大同经济开发区,140271000000
city_SX_yq_1,city_SX_3,城区,140302000000
city_SX_yq_2,city_SX_3,矿区,140303000000
city_SX_yq_3,city_SX_3,郊区,140311000000
city_SX_yq_4,city_SX_3,平定县,140321000000
city_SX_yq_5,city_SX_3,盂县,140322000000
city_SX_yq_6,city_SX_3,山西阳泉经济开发区,140371000000
city_SX_cz_1,city_SX_4,城区,140402000000
city_SX_cz_3,city_SX_4,郊区,140411000000
city_SX_cz_4,city_SX_4,平定县,140321000000
city_SX_cz_5,city_SX_4,盂县,140322000000
city_SX_cz_6,city_SX_4,山西阳泉经济开发区,140371000000
city_SX_cz_8,city_SX_4,城区,140402000000
city_SX_cz_9,city_SX_4,郊区,140411000000
city_SX_cz_10,city_SX_4,长治县,140421000000
city_SX_cz_11,city_SX_4,襄垣县,140423000000
city_SX_cz_12,city_SX_4,屯留县,140424000000
city_SX_cz_13,city_SX_4,平顺县,140425000000
city_SX_cz_14,city_SX_4,黎城县,140426000000
city_SX_cz_15,city_SX_4,壶关县,140427000000
city_SX_cz_16,city_SX_4,长子县,140428000000
city_SX_cz_17,city_SX_4,武乡县,140429000000
city_SX_cz_18,city_SX_4,沁县,140430000000
city_SX_cz_19,city_SX_4,沁源县,140431000000
city_SX_cz_20,city_SX_4,山西长治高新技术产业园区,140471000000
city_SX_cz_21,city_SX_4,潞城市,140481000000
city_SX_jc_1,city_SX_5,城区,140502000000
city_SX_jc_2,city_SX_5,沁水县,140521000000
city_SX_jc_3,city_SX_5,阳城县,140522000000
city_SX_jc_4,city_SX_5,陵川县,140524000000
city_SX_jc_5,city_SX_5,泽州县,140525000000
city_SX_jc_6,city_SX_5,高平市,140581000000
city_SX_sz_1,city_SX_6,朔城区,140602000000
city_SX_sz_2,city_SX_6,平鲁区,140603000000
city_SX_sz_3,city_SX_6,山阴县,140621000000
city_SX_sz_4,city_SX_6,应县,140622000000
city_SX_sz_5,city_SX_6,右玉县,140623000000
city_SX_sz_6,city_SX_6,怀仁县,140624000000
city_SX_sz_7,city_SX_6,山西朔州经济开发区,140671000000
city_SX_jz_1,city_SX_7,榆次区,140702000000
city_SX_jz_2,city_SX_7,榆社县,140721000000
city_SX_jz_3,city_SX_7,左权县,140722000000
city_SX_jz_4,city_SX_7,和顺县,140723000000
city_SX_jz_5,city_SX_7,昔阳县,140724000000
city_SX_jz_6,city_SX_7,寿阳县,140725000000
city_SX_jz_7,city_SX_7,太谷县,140726000000
city_SX_jz_8,city_SX_7,祁县,140727000000
city_SX_jz_9,city_SX_7,平遥县,140728000000
city_SX_jz_10,city_SX_7,灵石县,140729000000
city_SX_jz_11,city_SX_7,介休市,140781000000
city_SX_yc_1,city_SX_8,盐湖区,140802000000
city_SX_yc_2,city_SX_8,临猗县,140821000000
city_SX_yc_3,city_SX_8,万荣县,140822000000
city_SX_yc_4,city_SX_8,闻喜县,140823000000
city_SX_yc_5,city_SX_8,稷山县,140824000000
city_SX_yc_6,city_SX_8,新绛县,140825000000
city_SX_yc_7,city_SX_8,绛县,140826000000
city_SX_yc_8,city_SX_8,垣曲县,140827000000
city_SX_yc_9,city_SX_8,夏县,140828000000
city_SX_yc_10,city_SX_8,平陆县,140829000000
city_SX_yc_11,city_SX_8,芮城县,140830000000
city_SX_yc_12,city_SX_8,永济市,140881000000
